設問番号,設問内容,影響する属性,YESの場合,NOの場合
Q1,休日、家にいるより外に出かける方が好き？,A (外向),1,0
Q2,流行のものより、昔からの定番を信じている？,H (頑固),1,0
Q3,刺激のない毎日は退屈だと感じる？,S (刺激),1,0
Q4,初対面の人ともすぐに打ち解けられる方だ？,A (外向),2,0
Q5,一度決めたマイルールは、絶対に変えたくない？,H (頑固),2,0
Q6,どちらかと言えば「変わり者」と言われたい？,S (刺激),2,0
Q7,チームで協力するより、一人で進める方が楽だ？,A (外向),0,2
Q8,誰に対しても意見を曲げない強さがある？,H (頑固),2,0
Q9,辛い料理や香りの強い食べ物が大好きだ？,S (刺激),2,0
Q10,自分の本音は、親しい人にしか見せない？,A (外向),0,2
Q11,計画が狂っても、柔軟に対応できる方だ？,H (頑固),0,2
Q12,ファッションは無難なものより個性を重視する？,S (刺激),2,0
Q13,注目を浴びる場面では、堂々と振る舞える？,A (外向),3,0
Q14,「地道な努力」こそが成功の近道だと思う？,H (頑固),3,0
Q15,感動して涙を流すことがよくある？,S (刺激),0,3
