植物名,月,管理内容,備考
レモン,1月,冬越し・防寒対策,寒冷地では不織布などで防寒
レモン,2月,整枝・剪定,不要な枝を根元から切る
レモン,3月,元肥（寒肥）,マグァンプK大粒、柑橘・果樹の肥料（花ごころ等）
レモン,4月,発芽・開花・アブラムシ対策,ベニカXファインスプレー
レモン,5月,開花・受粉,鉢植えは人工授粉が確実
レモン,6月,追肥・摘果,錠剤肥料シリーズ かんきつ・果樹用（ハイポネックス）
レモン,7月,水やり・夏秋梢の整理,土の表面が乾いたらたっぷり水やり
レモン,8月,ハダニ対策,コロマイト水和剤
レモン,9月,追肥（秋肥）,マイガーデンベジフル
レモン,10月,収穫・アゲハ幼虫対策,捕殺またはSTゼンターリ顆粒水和剤
レモン,11月,収穫・お礼肥,錠剤肥料シリーズ かんきつ・果樹用
レモン,12月,冬越し,寒冷地は室内に取り込む
桃,1月,休眠期・冬季剪定,徒長枝を整理
桃,2月,元肥（寒肥）・石灰硫黄合剤散布,ももがおいしくなる肥料（大嶌屋・サンアンドホープ等）
桃,3月,追肥（芽出し肥）,マイガーデンベジフル、粒状肥料「8-8-8」
桃,4月,摘蕾・摘花・アブラムシ対策,ダントツ水溶剤、スミチオン乳剤
桃,5月,摘果・袋かけ,果実を1枝に1〜2個へ絞る
桃,6月,追肥・シンクイムシ対策,ベニカ水溶剤、モスピラン
桃,7月,収穫・水やり,乾燥が激しい場合は夕方に灌水
桃,8月,収穫・お礼肥,マイガーデンベジフル
桃,9月,秋季剪定,混み合った枝を間引く
桃,10月,落葉・病害虫の越冬防止,落ち葉は病気の原因になるため処分
桃,11月,施肥（土作り）,完熟堆肥を土に漉き込む
桃,12月,休眠期,来春の剪定計画を立てる
キウイフルーツ,1月,冬の剪定・元肥,マグァンプK大粒、くだものの肥料（あかぎ園芸等）
キウイフルーツ,2月,追肥,マイガーデンベジフル
キウイフルーツ,3月,芽吹き・棚の点検,誘引作業を行う
キウイフルーツ,4月,開花準備・人工授粉,雄花の花粉を雌花につける
キウイフルーツ,5月,受粉・果実肥大促進,フルメット液剤（浸漬）
キウイフルーツ,6月,追肥・摘果,錠剤肥料シリーズ かんきつ・果樹用
キウイフルーツ,7月,夏季剪定・水やり,勢いの強すぎる枝（徒長枝）をカット
キウイフルーツ,8月,乾燥対策,マルチングや水やりを徹底
キウイフルーツ,9月,お礼肥・追肥,マイガーデンベジフル
キウイフルーツ,10月,収穫準備・病害虫チェック,キイロマイコガ対策（アディオン乳剤）
キウイフルーツ,11月,収穫・追熟,リンゴと一緒に袋に入れて追熟
キウイフルーツ,12月,落葉・土作り,堆肥や石灰で土壌改良
